Sl_No,MSISDN,IMSI,Allocated_IP,Start_Date,Start_Time,End_Date,End_Time,Duration_Sec,Upload_KB,Download_KB,Dest_IP,Dest_Port,Protocol,App_Label,Cell_ID,Tower_Latitude,Tower_Longitude,Telecom_Circle,Operator
15,+91-9963456789,404100996345678,10.164.75.60,03/01/2024,13:48:55,03/01/2024,14:15:54,1619,77,1247,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
16,+91-9963456789,404100996345678,10.124.240.225,03/01/2024,14:15:29,03/01/2024,14:27:47,738,178,2358,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
17,+91-9963456789,404100996345678,10.128.106.77,03/01/2024,17:15:19,03/01/2024,17:45:43,1824,166,4370,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
18,+91-9963456789,404100996345678,10.130.53.18,03/01/2024,20:39:49,03/01/2024,21:12:16,1947,924,228,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
19,+91-9963456789,404100996345678,10.131.190.12,03/01/2024,21:38:43,03/01/2024,22:03:13,1470,913,498,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
20,+91-9963456789,404100996345678,10.152.248.107,04/01/2024,11:51:29,04/01/2024,12:23:12,1903,79,4707,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
21,+91-9963456789,404100996345678,10.199.73.98,04/01/2024,13:25:58,04/01/2024,13:34:38,520,585,2734,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
22,+91-9963456789,404100996345678,10.147.24.138,04/01/2024,15:13:21,04/01/2024,15:35:55,1354,100,3784,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
23,+91-9963456789,404100996345678,10.194.31.192,04/01/2024,17:19:58,04/01/2024,17:20:59,61,236,1656,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
24,+91-9963456789,404100996345678,10.159.26.206,04/01/2024,18:19:16,04/01/2024,18:32:02,766,545,4173,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
25,+91-9963456789,404100996345678,10.124.206.195,04/01/2024,19:43:38,04/01/2024,20:04:42,1264,60,696,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
26,+91-9963456789,404100996345678,10.160.62.218,04/01/2024,20:09:19,04/01/2024,20:22:39,800,208,4506,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
27,+91-9963456789,404100996345678,10.108.182.39,05/01/2024,08:48:00,05/01/2024,09:02:34,874,160,1995,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
28,+91-9963456789,404100996345678,10.163.141.168,05/01/2024,13:21:14,05/01/2024,13:34:41,807,603,2113,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
29,+91-9963456789,404100996345678,10.102.67.142,05/01/2024,20:02:36,05/01/2024,20:32:35,1799,246,1295,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
30,+91-9963456789,404100996345678,10.167.9.215,05/01/2024,22:11:58,05/01/2024,22:42:49,1851,575,581,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
31,+91-9963456789,404100996345678,10.121.188.204,05/01/2024,22:46:41,05/01/2024,23:12:25,1544,522,3875,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
32,+91-9963456789,404100996345678,10.134.204.102,06/01/2024,14:12:39,06/01/2024,14:31:07,1108,278,3003,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
33,+91-9963456789,404100996345678,10.122.28.236,06/01/2024,15:34:18,06/01/2024,15:35:23,65,534,3627,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
34,+91-9963456789,404100996345678,10.138.176.212,06/01/2024,19:29:36,06/01/2024,19:38:24,528,733,1950,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
35,+91-9963456789,404100996345678,10.170.106.4,06/01/2024,22:42:31,06/01/2024,22:43:33,62,26,4459,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
36,+91-9963456789,404100996345678,10.172.169.9,07/01/2024,09:43:59,07/01/2024,09:54:03,604,940,4548,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
37,+91-9963456789,404100996345678,10.109.77.42,07/01/2024,17:01:13,07/01/2024,17:21:45,1232,167,3362,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
38,+91-9963456789,404100996345678,10.162.59.92,07/01/2024,17:01:40,07/01/2024,17:11:29,589,822,3790,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
39,+91-9963456789,404100996345678,10.105.59.55,07/01/2024,17:36:54,07/01/2024,17:40:39,225,936,4426,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
40,+91-9963456789,404100996345678,10.143.155.197,07/01/2024,18:03:06,07/01/2024,18:18:31,925,257,722,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
41,+91-9963456789,404100996345678,10.191.19.22,07/01/2024,19:05:49,07/01/2024,19:27:25,1296,322,2118,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
42,+91-9963456789,404100996345678,10.189.44.22,07/01/2024,19:24:35,07/01/2024,19:41:19,1004,77,177,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
43,+91-9963456789,404100996345678,10.196.190.36,07/01/2024,19:43:57,07/01/2024,20:02:54,1137,359,3244,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
44,+91-9963456789,404100996345678,10.200.84.222,08/01/2024,09:22:35,08/01/2024,09:26:15,220,631,4999,157.240.241.54,443,HTTPS/E2E,WhatsApp,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
45,+91-9963456789,404100996345678,10.111.2.242,08/01/2024,11:47:24,08/01/2024,11:58:42,678,389,972,52.220.105.26,443,HTTPS,PhonePe,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
46,+91-9963456789,404100996345678,10.157.143.143,08/01/2024,15:06:08,08/01/2024,15:09:36,208,211,3630,157.240.241.174,443,HTTPS,Instagram,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
47,+91-9963456789,404100996345678,10.131.147.134,08/01/2024,20:24:49,08/01/2024,20:28:12,203,762,4683,157.240.241.54,443,HTTPS/E2E,WhatsApp,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
48,+91-9963456789,404100996345678,10.176.158.51,09/01/2024,09:23:16,09/01/2024,09:55:59,1963,272,4161,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
49,+91-9963456789,404100996345678,10.161.81.46,09/01/2024,11:19:20,09/01/2024,11:40:25,1265,990,1745,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
50,+91-9963456789,404100996345678,10.191.109.203,09/01/2024,11:40:19,09/01/2024,11:49:04,525,278,1362,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
51,+91-9963456789,404100996345678,10.121.112.71,09/01/2024,15:19:17,09/01/2024,15:36:36,1039,169,618,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
52,+91-9963456789,404100996345678,10.142.113.86,09/01/2024,16:00:25,09/01/2024,16:12:15,710,881,3212,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
53,+91-9963456789,404100996345678,10.200.63.84,09/01/2024,16:47:44,09/01/2024,17:09:50,1326,522,4817,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
54,+91-9963456789,404100996345678,10.175.140.47,09/01/2024,19:23:07,09/01/2024,19:55:25,1938,597,1736,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
55,+91-9963456789,404100996345678,10.188.18.210,09/01/2024,21:45:13,09/01/2024,22:00:40,927,836,2486,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
56,+91-9963456789,404100996345678,10.121.166.157,10/01/2024,09:06:49,10/01/2024,09:15:47,538,693,3008,157.240.241.174,443,HTTPS,Instagram,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
57,+91-9963456789,404100996345678,10.101.26.67,10/01/2024,19:48:21,10/01/2024,20:16:01,1660,460,967,142.250.76.46,443,HTTPS,YouTube,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
58,+91-9963456789,404100996345678,10.169.10.203,10/01/2024,22:37:25,10/01/2024,22:56:09,1124,538,3526,52.220.105.26,443,HTTPS,PhonePe,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
59,+91-9963456789,404100996345678,10.186.205.43,11/01/2024,10:01:54,11/01/2024,10:14:06,732,683,995,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
60,+91-9963456789,404100996345678,10.151.162.48,11/01/2024,12:21:35,11/01/2024,12:36:38,903,493,1999,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
61,+91-9963456789,404100996345678,10.173.27.205,11/01/2024,13:13:17,11/01/2024,13:39:27,1570,740,612,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
62,+91-9963456789,404100996345678,10.119.89.7,11/01/2024,19:29:49,11/01/2024,19:53:30,1421,622,4199,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
63,+91-9963456789,404100996345678,10.157.152.110,11/01/2024,20:25:01,11/01/2024,20:50:41,1540,648,1716,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
64,+91-9963456789,404100996345678,10.144.80.88,11/01/2024,20:58:05,11/01/2024,21:02:32,267,871,1260,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
65,+91-9963456789,404100996345678,10.140.18.77,11/01/2024,22:22:30,11/01/2024,22:26:19,229,468,3806,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
66,+91-9963456789,404100996345678,10.139.30.47,12/01/2024,09:43:08,12/01/2024,09:54:19,671,140,2054,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
67,+91-9963456789,404100996345678,10.181.81.153,12/01/2024,10:16:42,12/01/2024,10:46:38,1796,521,4423,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
68,+91-9963456789,404100996345678,10.186.181.205,12/01/2024,10:22:22,12/01/2024,10:51:43,1761,488,1513,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
69,+91-9963456789,404100996345678,10.154.48.125,12/01/2024,19:26:38,12/01/2024,19:31:50,312,608,3243,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
70,+91-9963456789,404100996345678,10.179.14.222,12/01/2024,22:18:08,12/01/2024,22:25:01,413,342,3794,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
71,+91-9963456789,404100996345678,10.137.9.71,13/01/2024,09:36:01,13/01/2024,10:03:40,1659,799,1906,52.220.105.26,443,HTTPS,PhonePe,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
72,+91-9963456789,404100996345678,10.170.131.29,13/01/2024,12:49:29,13/01/2024,13:09:17,1188,780,4157,142.250.182.46,443,HTTPS,Google,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
73,+91-9963456789,404100996345678,10.187.126.107,13/01/2024,19:35:32,13/01/2024,19:58:19,1367,526,3451,157.240.241.54,443,HTTPS/E2E,WhatsApp,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
74,+91-9963456789,404100996345678,10.156.222.31,14/01/2024,08:28:16,14/01/2024,08:40:39,743,902,812,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
75,+91-9963456789,404100996345678,10.168.44.83,14/01/2024,08:36:22,14/01/2024,08:55:02,1120,307,4989,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
76,+91-9963456789,404100996345678,10.154.27.189,14/01/2024,08:48:46,14/01/2024,09:04:19,933,579,1890,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
77,+91-9963456789,404100996345678,10.117.247.193,14/01/2024,15:54:32,14/01/2024,16:25:45,1873,715,880,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
78,+91-9963456789,404100996345678,10.121.158.36,14/01/2024,18:55:45,14/01/2024,19:17:04,1279,667,3607,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
79,+91-9963456789,404100996345678,10.158.244.125,15/01/2024,09:25:32,15/01/2024,09:51:37,1565,304,3123,157.240.241.54,443,HTTPS/E2E,WhatsApp,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
80,+91-9963456789,404100996345678,10.191.83.213,15/01/2024,11:44:55,15/01/2024,11:49:56,301,275,1298,157.240.241.174,443,HTTPS,Instagram,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
81,+91-9963456789,404100996345678,10.180.107.97,15/01/2024,19:31:09,15/01/2024,19:51:21,1212,667,2301,142.250.182.46,443,HTTPS,Google,VTM-MAIN-014,15.7833,80.3167,Andhra Pradesh,BSNL
