Sl_No,A_Party_MSISDN,B_Party_MSISDN,Date,Time,Duration_Sec,Call_Type,IMEI,IMSI,Cell_ID,LAC,Tower_Name,Tower_Latitude,Tower_Longitude,Telecom_Circle,Operator,Roaming_Flag,Remarks
62,+91-9849000312,+91-9032456789,12/01/2024,11:54:23,60,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
63,+91-9849000312,+91-9177234560,12/01/2024,12:02:44,199,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
64,+91-9849000312,+91-8074561234,12/01/2024,13:42:47,366,SMS-MO,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
65,+91-9849000312,+91-9032456789,12/01/2024,18:13:41,337,SMS-MO,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
66,+91-9849000312,+91-8074561234,12/01/2024,22:26:41,60,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
67,+91-9849000312,+91-9441234567,13/01/2024,11:08:50,299,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
68,+91-9849000312,+91-9912000111,13/01/2024,17:13:52,455,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
69,+91-9849000312,+91-9849234567,13/01/2024,20:57:38,11,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
70,+91-9849000312,+91-9849234567,14/01/2024,10:16:03,74,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
71,+91-9849000312,+91-8341567890,14/01/2024,13:50:50,131,SMS-MO,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
72,+91-9849000312,+91-8074561234,14/01/2024,19:04:30,239,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
73,+91-9849000312,+91-8341567890,14/01/2024,20:11:07,348,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
74,+91-9849000312,+91-7032111234,15/01/2024,09:50:44,68,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
75,+91-9849000312,+91-9912000111,15/01/2024,13:38:09,43,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
76,+91-9849000312,+91-7032111234,15/01/2024,14:28:56,126,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
77,+91-9849000312,+91-7330198765,15/01/2024,14:38:33,160,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
78,+91-9849000312,+91-9177234560,15/01/2024,15:32:14,324,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
79,+91-9849000312,+91-7032111234,15/01/2024,15:41:01,41,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
80,+91-9849000312,+91-8074561234,15/01/2024,18:06:31,374,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
