Sl_No,MSISDN,IMSI,Allocated_IP,Start_Date,Start_Time,End_Date,End_Time,Duration_Sec,Upload_KB,Download_KB,Dest_IP,Dest_Port,Protocol,App_Label,Cell_ID,Tower_Latitude,Tower_Longitude,Telecom_Circle,Operator
64,+91-9441234567,404100441234567,10.122.231.183,08/01/2024,12:07:08,08/01/2024,13:05:51,3523,201,3903,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
65,+91-9441234567,404100441234567,10.163.133.100,08/01/2024,14:15:07,08/01/2024,14:17:23,136,1556,1724,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
66,+91-9441234567,404100441234567,10.178.74.178,08/01/2024,14:49:16,08/01/2024,15:37:49,2913,963,1957,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
67,+91-9441234567,404100441234567,10.121.177.114,08/01/2024,15:19:28,08/01/2024,16:01:06,2498,1519,3690,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
68,+91-9441234567,404100441234567,10.119.174.116,08/01/2024,17:23:24,08/01/2024,18:02:37,2353,116,5156,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
69,+91-9441234567,404100441234567,10.167.94.102,08/01/2024,17:28:48,08/01/2024,17:34:32,344,1225,1327,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
70,+91-9441234567,404100441234567,10.110.187.109,08/01/2024,17:59:51,08/01/2024,18:35:47,2156,596,6763,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
71,+91-9441234567,404100441234567,10.141.27.21,08/01/2024,19:38:52,08/01/2024,19:51:41,769,1167,2606,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
72,+91-9441234567,404100441234567,10.178.112.71,08/01/2024,20:02:46,08/01/2024,21:02:39,3593,1916,3088,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
73,+91-9441234567,404100441234567,10.170.34.157,09/01/2024,06:23:35,09/01/2024,07:03:09,2374,805,4028,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
74,+91-9441234567,404100441234567,10.159.175.133,09/01/2024,08:08:20,09/01/2024,08:52:41,2661,201,3886,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
75,+91-9441234567,404100441234567,10.167.106.197,09/01/2024,08:19:25,09/01/2024,09:08:51,2966,1522,4121,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
76,+91-9441234567,404100441234567,10.117.61.203,09/01/2024,17:32:14,09/01/2024,17:41:01,527,461,6688,149.154.167.91,443,HTTPS/E2E,Telegram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
77,+91-9441234567,404100441234567,10.138.218.41,09/01/2024,17:45:04,09/01/2024,18:23:06,2282,1160,2578,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
78,+91-9441234567,404100441234567,10.182.198.148,10/01/2024,07:52:55,10/01/2024,07:55:21,146,216,572,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
79,+91-9441234567,404100441234567,10.115.133.40,10/01/2024,10:27:32,10/01/2024,11:27:18,3586,163,7010,149.154.167.91,443,HTTPS/E2E,Telegram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
80,+91-9441234567,404100441234567,10.166.230.73,10/01/2024,11:10:20,10/01/2024,11:59:15,2935,511,3034,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
81,+91-9441234567,404100441234567,10.103.128.228,10/01/2024,12:49:36,10/01/2024,13:18:32,1736,1315,5434,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
82,+91-9441234567,404100441234567,10.180.78.158,10/01/2024,14:12:40,10/01/2024,14:50:46,2286,612,1225,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
83,+91-9441234567,404100441234567,10.119.44.169,10/01/2024,22:41:10,10/01/2024,23:22:04,2454,1978,4956,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
84,+91-9441234567,404100441234567,10.126.88.156,11/01/2024,07:10:28,11/01/2024,07:39:20,1732,1041,4004,157.240.241.54,443,HTTPS/E2E,WhatsApp,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
85,+91-9441234567,404100441234567,10.197.104.94,11/01/2024,09:27:08,11/01/2024,09:45:41,1113,1539,3196,157.240.241.54,443,HTTPS/E2E,WhatsApp,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
86,+91-9441234567,404100441234567,10.139.128.6,11/01/2024,11:31:32,11/01/2024,12:03:54,1942,1071,7401,149.154.167.91,443,HTTPS/E2E,Telegram,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
87,+91-9441234567,404100441234567,10.149.222.158,11/01/2024,13:09:06,11/01/2024,13:13:03,237,644,7944,52.220.105.26,443,HTTPS,PhonePe,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
88,+91-9441234567,404100441234567,10.173.185.81,11/01/2024,13:55:57,11/01/2024,14:07:21,684,1716,2882,157.240.241.174,443,HTTPS,Instagram,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
89,+91-9441234567,404100441234567,10.151.77.117,11/01/2024,15:30:15,11/01/2024,16:25:41,3326,1703,5811,142.250.76.46,443,HTTPS,YouTube,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
90,+91-9441234567,404100441234567,10.144.250.103,11/01/2024,16:55:45,11/01/2024,17:18:02,1337,1553,7251,149.154.167.91,443,HTTPS/E2E,Telegram,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
91,+91-9441234567,404100441234567,10.159.32.69,11/01/2024,17:32:35,11/01/2024,17:40:19,464,703,2180,149.154.167.91,443,HTTPS/E2E,Telegram,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
92,+91-9441234567,404100441234567,10.170.74.19,11/01/2024,18:03:36,11/01/2024,18:42:27,2331,448,3169,157.240.241.54,443,HTTPS/E2E,WhatsApp,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
93,+91-9441234567,404100441234567,10.145.13.13,11/01/2024,18:32:29,11/01/2024,18:49:25,1016,490,4978,157.240.241.54,443,HTTPS/E2E,WhatsApp,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
94,+91-9441234567,404100441234567,10.160.74.138,11/01/2024,21:38:56,11/01/2024,22:36:58,3482,1389,5709,142.250.76.46,443,HTTPS,YouTube,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
95,+91-9441234567,404100441234567,10.179.175.157,11/01/2024,22:28:48,11/01/2024,23:06:50,2282,622,6960,157.240.241.174,443,HTTPS,Instagram,MKP-CENT-006,15.7333,79.2667,Andhra Pradesh,BSNL
96,+91-9441234567,404100441234567,10.175.87.130,12/01/2024,11:25:39,12/01/2024,12:16:37,3058,1775,2651,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
97,+91-9441234567,404100441234567,10.186.29.251,12/01/2024,15:30:52,12/01/2024,15:32:30,98,804,2913,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
98,+91-9441234567,404100441234567,10.180.7.153,12/01/2024,15:50:57,12/01/2024,16:40:57,3000,1836,5836,157.240.241.174,443,HTTPS,Instagram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
99,+91-9441234567,404100441234567,10.146.194.37,12/01/2024,18:23:50,12/01/2024,18:47:28,1418,1192,7891,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
100,+91-9441234567,404100441234567,10.117.183.86,12/01/2024,22:25:32,12/01/2024,22:28:46,194,142,518,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
101,+91-9441234567,404100441234567,10.117.84.239,12/01/2024,22:29:09,12/01/2024,23:11:02,2513,1879,4423,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
102,+91-9441234567,404100441234567,10.192.159.199,13/01/2024,07:37:30,13/01/2024,07:49:38,728,1123,5352,149.154.167.91,443,HTTPS/E2E,Telegram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
103,+91-9441234567,404100441234567,10.141.170.123,13/01/2024,07:45:08,13/01/2024,08:21:02,2154,474,4794,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
104,+91-9441234567,404100441234567,10.189.29.49,13/01/2024,10:52:43,13/01/2024,11:09:45,1022,114,4890,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
105,+91-9441234567,404100441234567,10.150.210.89,13/01/2024,15:07:36,13/01/2024,15:54:17,2801,1162,3310,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
106,+91-9441234567,404100441234567,10.140.123.90,13/01/2024,15:45:13,13/01/2024,16:32:50,2857,1493,4205,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
107,+91-9441234567,404100441234567,10.145.174.198,13/01/2024,16:11:29,13/01/2024,16:48:22,2213,751,4675,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
108,+91-9441234567,404100441234567,10.126.106.129,13/01/2024,20:20:26,13/01/2024,20:31:16,650,895,5856,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
109,+91-9441234567,404100441234567,10.128.242.250,13/01/2024,21:12:15,13/01/2024,21:31:47,1172,1192,2645,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
110,+91-9441234567,404100441234567,10.160.123.167,14/01/2024,06:35:59,14/01/2024,06:47:15,676,883,5548,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
111,+91-9441234567,404100441234567,10.195.247.224,14/01/2024,07:53:25,14/01/2024,08:47:42,3257,1064,1726,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
112,+91-9441234567,404100441234567,10.106.172.232,14/01/2024,09:39:47,14/01/2024,10:20:20,2433,540,2186,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
113,+91-9441234567,404100441234567,10.171.179.70,14/01/2024,12:12:52,14/01/2024,12:50:08,2236,605,7843,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
114,+91-9441234567,404100441234567,10.160.26.175,14/01/2024,13:03:06,14/01/2024,13:31:48,1722,726,6076,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
115,+91-9441234567,404100441234567,10.198.23.167,14/01/2024,15:20:18,14/01/2024,16:04:53,2675,171,7637,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
116,+91-9441234567,404100441234567,10.183.66.192,14/01/2024,15:45:05,14/01/2024,16:09:13,1448,1942,3823,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
117,+91-9441234567,404100441234567,10.122.107.226,14/01/2024,23:47:46,15/01/2024,00:46:18,3512,1968,505,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
