Sl_No,A_Party_MSISDN,B_Party_MSISDN,Date,Time,Duration_Sec,Call_Type,IMEI,IMSI,Cell_ID,LAC,Tower_Name,Tower_Latitude,Tower_Longitude,Telecom_Circle,Operator,Roaming_Flag,Remarks
31,+91-9963456789,+91-8074561234,04/01/2024,14:17:00,49,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
32,+91-9963456789,+91-9441234567,04/01/2024,14:58:00,444,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
33,+91-9963456789,+91-9441234567,04/01/2024,15:48:00,136,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
34,+91-9963456789,+91-8074561234,04/01/2024,15:49:00,330,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
35,+91-9963456789,+91-9441234567,04/01/2024,16:15:00,149,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
36,+91-9963456789,+91-9912000111,04/01/2024,17:20:00,80,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
37,+91-9963456789,+91-9441234567,04/01/2024,20:24:00,473,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
38,+91-9963456789,+91-8074561234,04/01/2024,20:53:00,469,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
39,+91-9963456789,+91-9912000111,04/01/2024,21:26:00,115,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
40,+91-9963456789,+91-9441234567,04/01/2024,21:39:00,427,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
41,+91-9963456789,+91-9849234567,04/01/2024,21:42:00,396,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
42,+91-9963456789,+91-9441234567,07/01/2024,14:55:00,190,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,CO-LOCATION_WITH_SUSPECT_A
43,+91-9963456789,+91-7032111234,07/01/2024,15:10:19,446,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,CO-LOCATION_WITH_SUSPECT_A
44,+91-9963456789,+91-7032111234,07/01/2024,15:25:57,285,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,CO-LOCATION_WITH_SUSPECT_A
45,+91-9963456789,+91-9849234567,07/01/2024,15:30:47,259,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,CO-LOCATION_WITH_SUSPECT_A
46,+91-9963456789,+91-9849234567,08/01/2024,14:31:01,209,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
47,+91-9963456789,+91-7032111234,08/01/2024,15:11:03,143,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
48,+91-9963456789,+91-9032456789,08/01/2024,15:20:21,399,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
49,+91-9963456789,+91-7032111234,08/01/2024,15:58:08,328,SMS-MO,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
50,+91-9963456789,+91-8341567890,08/01/2024,17:36:42,23,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
51,+91-9963456789,+91-7330198765,09/01/2024,10:30:42,68,SMS-MO,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
52,+91-9963456789,+91-8341567890,09/01/2024,11:12:53,20,SMS-MO,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
53,+91-9963456789,+91-8074561234,09/01/2024,12:53:05,250,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
54,+91-9963456789,+91-9912000111,09/01/2024,13:14:41,45,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
55,+91-9963456789,+91-9849234567,09/01/2024,19:16:49,198,MTC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
56,+91-9963456789,+91-9000112233,10/01/2024,08:54:26,431,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
57,+91-9963456789,+91-9000112233,10/01/2024,12:06:37,23,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
58,+91-9963456789,+91-9000112233,10/01/2024,13:34:27,348,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
59,+91-9963456789,+91-7032111234,10/01/2024,19:12:04,313,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
60,+91-9963456789,+91-9849234567,10/01/2024,19:49:19,445,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
61,+91-9963456789,+91-7330198765,11/01/2024,10:46:33,343,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
62,+91-9963456789,+91-8074561234,11/01/2024,11:53:59,54,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
63,+91-9963456789,+91-9000112233,11/01/2024,13:40:57,434,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
64,+91-9963456789,+91-9912000111,11/01/2024,15:27:52,384,SMS-MO,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
65,+91-9963456789,+91-9177234560,11/01/2024,20:29:36,322,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
66,+91-9963456789,+91-7032111234,12/01/2024,08:31:54,176,MTC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
67,+91-9963456789,+91-9177234560,12/01/2024,13:51:16,184,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
68,+91-9963456789,+91-8074561234,12/01/2024,16:12:05,133,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
69,+91-9963456789,+91-7032111234,12/01/2024,16:48:15,363,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
70,+91-9963456789,+91-9177234560,12/01/2024,20:01:05,160,MTC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
71,+91-9963456789,+91-9849234567,13/01/2024,09:47:34,400,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
72,+91-9963456789,+91-7330198765,13/01/2024,11:47:30,151,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
73,+91-9963456789,+91-9177234560,13/01/2024,12:16:14,71,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
74,+91-9963456789,+91-7032111234,13/01/2024,12:42:37,198,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
75,+91-9963456789,+91-9912000111,13/01/2024,14:47:35,179,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
76,+91-9963456789,+91-8074561234,14/01/2024,08:35:18,367,MTC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
77,+91-9963456789,+91-9177234560,14/01/2024,08:36:18,250,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
78,+91-9963456789,+91-9912000111,14/01/2024,09:53:12,161,MTC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
79,+91-9963456789,+91-9177234560,14/01/2024,10:03:16,451,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
80,+91-9963456789,+91-9032456789,14/01/2024,12:00:45,283,MTC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
81,+91-9963456789,+91-8341567890,15/01/2024,10:51:36,165,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
82,+91-9963456789,+91-9000112233,15/01/2024,14:31:04,305,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
83,+91-9963456789,+91-9849234567,15/01/2024,15:58:28,162,SMS-MO,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
84,+91-9963456789,+91-9849234567,15/01/2024,16:48:26,320,SMS-MO,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
85,+91-9963456789,+91-7032111234,15/01/2024,17:39:03,322,MOC,352098765432100,404100996345678,VTM-MAIN-014,4300,Vetapalem Cross,15.7833,80.3167,Andhra Pradesh,Airtel,N,MOVED_TO_VETAPALEM
